Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,329,218,271,219,148,143,237,220,221,223,201,179,245,215,229,189,187,163,192,178,129,148,115,138,91,108,149,104,109,148,109,147,129,144,122,101,123,159,101,120,95,117,41,27,44,45,59,49,44,43,40,24,34,35,29,39,7,2,4,7,3,1,4,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,497","3,837",51.20%,17.5,41.9,168,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,558,531,475,427,261,257,404,416,395,348,317,313,310,300,285,293,274,241,220,230,162,201,165,192,180,150,162,155,142,132,117,132,119,78,66,60,89,80,63,78,64,40,36,18,30,25,27,18,10,7,15,7,4,6,1,2,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,691","6,405",66.10%,12.5,33.7,16,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,360,262,225,200,116,82,147,147,157,171,172,167,163,128,166,140,154,122,148,151,142,142,88,114,135,124,115,117,136,123,99,89,96,114,101,89,115,98,82,95,78,78,54,47,66,68,66,58,56,60,45,32,23,10,7,4,9,-,1,-,3,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,363","3,079",48.40%,18.7,44.1,63,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,334,252,199,261,120,122,241,178,219,193,215,197,191,147,231,199,190,189,153,132,102,147,88,119,119,101,119,94,141,149,162,110,102,124,81,72,69,76,57,72,80,66,57,34,55,57,55,25,27,37,39,43,32,25,18,15,5,-,3,3,6,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,752","3,678",54.50%,16.4,42,110,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,93,69,68,82,47,58,51,64,69,74,56,91,77,50,67,66,82,55,52,56,55,45,35,57,69,57,47,37,49,51,49,46,54,41,37,20,39,47,32,43,36,31,22,12,30,30,26,14,23,18,14,18,2,3,-,1,2,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,524","1,219",48.30%,18.8,42.8,13,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,108,119,84,92,46,39,63,47,64,62,78,77,39,53,48,44,32,36,16,18,24,17,12,14,14,18,9,18,10,8,9,12,9,14,6,6,10,7,8,4,4,2,1,-,2,3,2,2,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,413","1,131",80.00%,9.7,28.9,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,48,39,29,28,6,16,25,27,25,19,16,14,10,14,19,18,13,5,5,19,6,15,12,4,12,7,12,7,6,10,3,6,4,5,4,13,5,5,4,8,4,2,4,3,3,1,1,2,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568,371,65.30%,11.4,36.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,363,314,297,312,168,169,301,335,361,313,347,300,295,299,279,291,314,262,186,207,268,180,166,248,182,205,196,191,206,224,178,159,193,201,224,162,181,171,135,133,127,105,78,59,81,83,80,79,64,64,70,41,39,33,35,33,17,9,20,27,25,17,8,14,17,4,2,4,5,2,-,3,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,763","5,320",49.40%,18.3,44.2,316,-,22
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"1,338",848,910,724,538,384,760,600,688,607,628,536,527,472,538,450,394,431,400,396,349,332,246,305,286,269,313,272,344,277,245,284,298,228,243,194,218,185,135,194,158,147,128,72,151,140,121,101,112,90,98,82,62,60,55,49,25,15,45,40,27,32,19,22,19,4,3,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,267","11,373",59.00%,14.1,42.3,481,-,11
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,450,297,341,318,182,160,316,302,259,228,221,261,225,198,207,207,212,223,158,172,162,176,95,119,111,136,129,131,166,143,152,175,142,154,141,115,135,153,106,120,116,103,88,55,98,90,75,77,73,39,46,52,38,43,45,27,10,6,20,14,28,18,11,11,9,4,2,3,2,7,3,1,1,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,917","4,607",51.70%,17.3,45.5,307,2,27
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,984,704,574,470,249,279,509,487,509,450,443,438,393,338,339,373,326,311,248,288,220,260,180,234,214,236,233,195,221,246,200,207,185,181,177,141,146,219,121,171,135,130,100,63,109,135,110,102,101,96,81,71,51,58,71,36,37,24,26,24,18,17,15,5,9,3,2,2,1,1,2,1,-,2,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,343","8,176",57.00%,15,44.6,411,2,20
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,82,72,61,55,28,24,44,30,19,22,19,16,20,20,10,16,16,9,12,8,7,7,8,16,11,8,6,12,10,5,15,3,9,5,7,1,1,4,9,2,10,3,4,1,-,1,2,-,5,2,7,2,1,-,2,3,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,776,563,72.60%,7.7,36.9,10,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_999,Total,"6,809","5,125","5,008","4,445","2,784","2,535","4,371","4,076","4,140","3,953","3,850","3,682","3,526","3,265","3,525","3,346","3,071","2,985","2,783","2,764","2,410","2,418","1,763","2,301","2,083","2,002","2,087","1,941","2,150","2,085","1,862","1,916","1,972","1,915","1,765","1,350","1,619","1,664","1,201","1,435","1,304","1,207",911,564,947,975,910,790,769,737,652,584,454,464,432,346,199,94,229,207,187,161,124,123,106,43,33,28,26,18,14,20,11,9,7,7,4,2,2,3,1,1,1,1,-,2,2,-,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,"127,697","70,496",55.20%,15.8,43.1,"3,365",17,239
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,76,146,174,104,73,63,104,104,81,95,81,89,64,74,83,70,75,74,47,58,53,38,24,34,38,59,28,33,34,46,30,30,36,30,33,24,29,20,11,23,21,24,28,14,24,23,15,4,12,18,18,8,18,10,11,18,4,2,4,8,6,3,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,688","1,630",60.60%,14.2,43.9,91,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,171,183,213,132,88,99,140,125,129,140,111,132,114,109,143,100,83,88,98,87,79,84,48,50,61,75,58,54,74,62,63,29,48,36,59,25,35,46,23,47,57,41,44,20,24,31,27,39,34,26,25,19,19,21,14,4,5,3,6,6,4,3,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,019","2,300",57.20%,14.9,43.7,91,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,135,158,234,207,158,130,174,186,181,198,171,179,207,157,165,169,172,171,167,170,167,163,107,136,145,128,144,128,179,153,135,139,148,108,136,94,132,120,95,91,92,86,71,52,70,89,71,69,74,76,60,44,45,55,60,33,14,17,42,39,38,25,29,30,28,21,7,9,13,4,1,5,6,4,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,521","3,152",41.90%,21.6,50.5,530,-,75
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,170,147,144,98,81,113,167,155,164,161,161,130,149,157,134,120,124,149,187,150,158,158,108,148,210,229,199,173,160,199,134,127,160,120,163,101,148,138,108,126,115,115,142,74,97,100,125,119,119,97,95,83,71,61,44,74,29,17,42,33,21,13,10,3,7,2,2,2,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,644","2,524",33.00%,25.8,50,435,-,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,65,86,100,86,52,51,85,71,101,78,65,55,66,55,77,52,60,46,48,49,54,44,25,22,29,30,24,38,45,36,47,28,41,36,38,28,35,29,48,33,35,33,36,24,36,24,29,24,41,24,4,3,6,5,2,5,1,2,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,397","1,251",52.20%,16.9,44.5,26,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,279,227,397,146,65,86,235,167,192,260,180,198,169,166,158,272,189,147,162,141,116,109,101,93,114,126,154,148,107,85,89,118,162,75,98,46,128,55,103,133,104,50,82,60,27,56,39,47,29,24,39,34,25,65,34,17,10,9,13,15,16,12,15,5,4,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,831","3,533",51.70%,17.2,43.9,244,-,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,-,1,-,4,4,1,1,2,4,1,3,6,1,2,8,4,6,2,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,50,79.40%,14.2,39,2,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,1,-,-,1,1,1,-,-,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,6,42.90%,-,-,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,345,278,442,384,281,165,336,358,326,304,276,258,229,203,241,232,263,213,188,181,192,161,110,155,143,148,158,107,161,163,158,155,124,127,138,98,131,92,95,100,90,104,92,58,90,131,149,117,82,51,52,37,33,28,32,23,24,27,56,48,41,25,18,18,15,3,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,667","5,134",53.10%,16.7,46.7,395,-,7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,97,119,226,230,170,228,204,256,327,345,332,337,427,324,346,365,338,222,303,264,235,237,165,247,165,142,156,107,206,243,163,178,135,174,117,99,150,104,141,124,103,141,114,64,104,117,113,119,140,134,110,97,60,68,90,68,63,56,78,94,64,68,52,46,42,5,3,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,974","4,893",44.60%,20.1,51.9,870,-,21
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,134,89,136,80,51,38,82,82,119,195,150,114,106,114,130,119,130,123,115,129,120,121,102,152,113,151,146,119,104,100,113,119,104,137,112,88,116,110,88,95,107,103,87,50,85,77,64,70,71,45,22,43,31,28,24,17,13,7,21,24,30,12,8,6,9,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,603","1,992",35.60%,24.6,47.5,233,-,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,119,120,170,107,72,73,103,114,119,132,125,126,113,102,112,92,100,93,95,114,90,71,63,100,58,71,66,63,53,68,67,67,71,69,49,55,63,39,35,40,47,38,48,31,42,33,33,41,34,32,33,30,24,17,25,12,5,11,18,3,4,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,023","1,992",49.50%,18.2,46.1,122,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,61,89,112,89,53,44,60,65,68,73,79,74,79,91,78,91,82,76,70,70,64,58,61,48,57,69,54,59,45,54,38,48,48,40,50,27,56,50,35,60,49,36,52,31,44,31,39,34,26,11,5,4,3,2,1,5,2,1,1,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,908","1,364",46.90%,19.3,43.4,21,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,55,63,66,65,17,13,38,31,26,26,23,19,23,22,17,17,16,8,10,9,6,14,5,13,11,9,7,6,2,1,2,4,5,1,3,1,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,657,545,83.00%,7.4,24.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,17,3,4,1,1,3,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,5,1,1,6,3,5,8,5,2,2,1,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,32,39.50%,34.7,43.8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,148,119,136,112,74,57,107,108,120,128,116,88,96,117,99,75,86,96,95,58,52,89,81,82,78,77,77,73,85,96,74,50,59,75,76,39,68,39,59,69,44,34,37,21,26,28,24,30,39,20,20,9,11,14,8,6,3,4,14,11,6,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,846","1,882",48.90%,18.4,42.7,81,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,462,534,615,479,331,296,487,415,452,410,452,378,349,307,317,332,311,329,320,262,248,222,148,189,184,179,181,153,180,160,172,173,147,113,122,87,105,95,68,84,77,59,48,30,37,47,57,57,24,45,22,19,9,11,14,14,7,3,7,10,2,10,9,6,6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,479","7,256",63.20%,13.3,36.6,109,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,-,-,2,1,2,-,1,2,-,-,1,-,-,-,-,1,-,2,2,-,2,-,-,1,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,12,46.20%,18.5,41,1,-,-
