Index,date,organisation_code,regional_name,organisation_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other_ae_department,ae_attendances_booked_appointments_type_1,ae_attendances_booked_appointments_type_2,ae_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_to_12hrs_from_dta_to_admission,patients_who_have_waited_12_plus_hours_from_dta_to_admission,emergency_admissions_via_ae_type_1,emergency_admissions_via_ae_type_2,emergency_admissions_via_ae_other_ae_department,other_emergency_admissions
89,01/02/2025,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5532,0,2684,393,0,135,2562,0,22,139,0,0,315,50,1931,0,0,1093
90,01/02/2025,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,01/09/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,01/09/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,8415,0,0,352,0,0,503,0,0,47,0,0,0,0,0,0
93,01/02/2025,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1636,0,0,12,0,0,18,0,0,0,0,0,0,0,0,0
94,01/02/2025,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61
95,01/02/2025,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,01/12/2024,RH5,South West,SOMERSET NHS FOUNDATION TRUST,12984,0,9207,0,0,0,6927,0,242,0,0,0,754,349,3339,0,0,1749
97,01/12/2024,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4682,309,2121,202,0,0,2262,0,0,98,0,0,401,11,1452,0,0,914
98,01/12/2024,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1608,0,0,12,0,0,127,0,0,2,0,0,0,0,0,0
99,01/12/2024,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8580,0,0,0,0,0,3891,0,0,0,0,0,798,142,2572,0,8,1699
100,01/09/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2529,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
101,01/12/2024,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13604,0,0,189,0,0,5318,0,0,42,0,0,444,536,2700,0,0,2168
102,01/09/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4224,0,0,327,0,3705,1431,0,0,76,0,7,200,45,1826,0,0,460
103,01/12/2024,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12262,0,3964,1334,0,89,5734,0,12,544,0,0,1768,135,4147,0,0,2002
104,01/09/2024,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,6479,0,12187,0,0,0,4002,0,871,0,0,0,578,605,2341,0,56,1333
105,01/12/2024,RVJ,South West,NORTH BRISTOL NHS TRUST,8633,0,0,29,0,0,3596,0,0,12,0,0,564,352,2999,0,0,2089
106,01/12/2024,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5708,0,5359,0,0,0,2406,0,393,0,0,0,549,292,2412,0,0,1394
107,01/09/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7270,0,0,0,0,0,25,0,0,0,0,0,0,0,1,16
108,01/12/2024,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15827,2126,0,0,0,0,6647,125,0,0,0,0,1326,695,5267,9,0,1553
109,01/12/2024,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13366,0,4874,0,0,0,6548,0,0,0,0,0,1155,399,4255,6,0,2386
110,01/12/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7577,0,0,0,0,0,56,0,0,0,0,0,0,0,0,21
111,01/12/2024,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9586,123,4623,0,0,0,5072,1,133,0,0,0,488,627,2892,0,0,1462
112,01/12/2024,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,6184,0,10870,0,0,0,3081,0,816,0,0,0,597,468,2421,0,49,1272
113,01/12/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2149,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
114,01/08/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,01/07/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4605,0,0,304,0,3749,2025,0,0,99,0,4,222,38,1867,0,0,524
116,01/07/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2746,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
117,01/05/2024,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4554,319,2165,328,0,0,1697,0,0,120,0,0,370,5,1450,0,0,922
118,01/05/2024,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,6719,0,13370,0,0,0,4041,0,782,0,0,0,506,476,2250,0,47,1239
119,01/05/2024,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16093,2411,0,0,0,0,5753,166,0,0,0,0,1268,321,5329,9,0,1484
120,01/10/2024,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,1044,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
121,01/05/2024,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13855,0,5621,0,0,0,5354,0,0,0,0,0,955,203,4243,4,0,2585
122,01/05/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4472,0,0,380,0,4478,1774,0,0,116,0,8,225,15,1829,0,0,542
123,01/05/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7544,0,0,0,0,0,46,0,0,0,0,0,0,0,0,24
124,01/10/2024,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
125,01/10/2024,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1598,0,0,7,0,0,69,0,0,0,0,0,0,0,0,0
126,01/05/2024,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51
127,01/05/2024,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
128,01/05/2024,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,1032,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
129,01/05/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,8802,0,0,234,0,0,671,0,0,58,0,0,0,0,0,0
130,01/05/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,01/05/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2691,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
132,01/10/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,01/05/2024,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1784,0,0,10,0,0,145,0,0,0,0,0,0,0,0,0
134,01/05/2024,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9272,138,5335,0,0,0,5108,0,245,0,0,0,697,603,2960,0,0,1243
135,01/05/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,01/03/2025,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12632,0,4261,1327,0,72,5510,0,23,540,0,2,1473,215,3437,0,0,1943
137,01/03/2025,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8762,0,0,0,0,0,3632,0,0,0,0,0,829,163,2580,0,3,1844
138,01/03/2025,RVJ,South West,NORTH BRISTOL NHS TRUST,9208,0,0,7,0,0,3568,0,0,0,0,0,538,407,2661,0,0,2225
139,01/03/2025,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,8527,0,0,0,0,0,126,0,0,0,0,0,0,0,0,32
140,01/03/2025,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13604,0,0,165,0,0,5355,0,0,51,0,0,377,459,2713,0,0,2398
141,01/03/2025,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9353,130,5705,0,0,0,5004,0,193,0,0,0,411,735,2827,0,0,1502
142,01/05/2024,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6698,0,3543,409,0,179,2918,0,10,144,0,1,354,113,2194,0,0,1244
143,01/03/2025,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4750,312,1873,155,0,0,2002,0,0,55,0,0,467,43,1242,0,0,1090
144,01/05/2024,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12900,0,4350,1320,0,57,4755,0,26,411,0,2,1233,46,4128,0,0,2264
145,01/10/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,01/11/2024,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5572,0,5356,0,0,0,2443,0,397,0,0,0,568,241,2425,0,0,1340
147,01/11/2024,RH5,South West,SOMERSET NHS FOUNDATION TRUST,12368,0,8991,0,0,0,5926,0,148,0,0,0,620,114,3201,0,0,1790
148,01/11/2024,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13057,0,0,240,0,0,4981,0,0,75,0,0,411,403,2716,0,0,2226
149,01/11/2024,RVJ,South West,NORTH BRISTOL NHS TRUST,9087,0,0,12,0,0,4072,0,0,4,0,0,518,526,3000,0,0,2023
150,01/11/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2194,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
151,01/11/2024,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4604,299,1724,145,0,0,1982,0,0,65,0,0,478,17,1306,0,0,1049
152,01/11/2024,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,5764,0,10707,0,0,0,3047,0,665,0,0,0,579,607,2314,0,92,1310
153,01/11/2024,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16427,2334,0,0,0,0,6438,161,0,0,0,0,1332,530,5439,14,0,1506
154,01/11/2024,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13107,0,4597,0,0,0,5292,0,0,0,0,0,752,120,4285,4,0,2534
155,01/11/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,7982,0,0,278,0,0,447,0,0,39,0,0,0,0,0,0
156,01/11/2024,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8488,0,0,0,0,0,3715,0,0,0,0,0,785,131,2484,0,7,1733
157,01/11/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7118,0,0,0,0,0,62,0,0,0,0,0,0,0,0,14
158,01/11/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4036,0,0,316,0,3806,1602,0,0,94,0,7,196,44,1771,0,0,524
