Index,date,regional_code,regional_name,organisation_code,organisation_name,diagnostic_id,diagnostic_test_name,total_waiting_list,number_waiting_6_plus_weeks,number_waiting_13_plus_weeks,percentage_waiting_6_plus_weeks,planned_tests_or_procedures,unscheduled_tests_or_procedures,waiting_list_tests_or_procedures_excluding_planned
8356,01/04/2024,Y60,Midlands ,RNS,Northampton General Hospital NHS Trust,6,Audiology - Audiology Assessments,402,275,91,0.684,311,8,785
8357,01/04/2024,Y60,Midlands ,RX1,Nottingham University Hospitals NHS Trust,6,Audiology - Audiology Assessments,2021,1321,402,0.654,376,0,480
8358,01/04/2024,Y60,Midlands ,RXK,Sandwell and West Birmingham Hospitals NHS Trust,6,Audiology - Audiology Assessments,883,259,16,0.293,150,0,828
8359,01/04/2024,Y60,Midlands ,NXX,Scrivens Ltd,6,Audiology - Audiology Assessments,1926,0,0,0,0,0,1926
8360,01/04/2024,Y60,Midlands ,RK5,Sherwood Forest Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,583,9,0,0.015,0,0,472
8361,01/04/2024,Y60,Midlands ,NYN,Specsavers Hearcare Group Ltd,6,Audiology - Audiology Assessments,7007,522,6,0.074,20339,0,0
8406,01/04/2024,Y60,Midlands ,RJC,South Warwickshire University NHS Foundation Trust,6,Audiology - Audiology Assessments,293,97,10,0.331,55,592,223
8409,01/04/2024,Y60,Midlands ,RNA,The Dudley Group NHS Foundation Trust,6,Audiology - Audiology Assessments,610,90,3,0.148,5,0,318
8410,01/04/2024,Y60,Midlands ,RL4,The Royal Wolverhampton NHS Trust,6,Audiology - Audiology Assessments,560,237,69,0.423,523,0,251
8411,01/04/2024,Y60,Midlands ,RWP,Worcestershire Acute Hospitals NHS Trust,6,Audiology - Audiology Assessments,524,178,38,0.34,0,0,888
8412,01/04/2024,Y60,Midlands ,RLQ,Wye Valley NHS Trust,6,Audiology - Audiology Assessments,445,219,44,0.492,2,0,205
8437,01/04/2024,Y60,Midlands ,R1D,Shropshire Community Health NHS Trust,6,Audiology - Audiology Assessments,448,22,3,0.049,13,0,193
8441,01/04/2024,Y60,Midlands ,RJE,University Hospitals of North Midlands NHS Trust,6,Audiology - Audiology Assessments,359,17,0,0.047,0,0,364
8454,01/04/2024,Y60,Midlands ,RWE,University Hospitals of Leicester NHS Trust,6,Audiology - Audiology Assessments,1693,551,20,0.325,0,0,1215
8455,01/04/2024,Y60,Midlands ,RBK,Walsall Healthcare NHS Trust,6,Audiology - Audiology Assessments,224,13,1,0.058,7,0,676
15137,01/04/2024,Y63,North East and Yorkshire ,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,777,340,305,0.438,91,0,399
16362,01/04/2024,Y63,North East and Yorkshire ,RXP,County Durham and Darlington NHS Foundation Trust,6,Audiology - Audiology Assessments,213,1,0,0.005,1432,0,1207
16364,01/04/2024,Y63,North East and Yorkshire ,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,2243,1893,1585,0.844,0,0,418
16366,01/04/2024,Y63,North East and Yorkshire ,RR7,Gateshead Health NHS Foundation Trust,6,Audiology - Audiology Assessments,689,307,19,0.446,1,0,1012
16368,01/04/2024,Y63,North East and Yorkshire ,RCD,Harrogate and District NHS Foundation Trust,6,Audiology - Audiology Assessments,624,465,221,0.745,0,0,632
16371,01/04/2024,Y63,North East and Yorkshire ,RWY,Calderdale and Huddersfield NHS Foundation Trust,6,Audiology - Audiology Assessments,213,0,0,0,75,0,463
16398,01/04/2024,Y63,North East and Yorkshire ,RWA,Hull University Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,434,8,2,0.018,0,0,519
16401,01/04/2024,Y63,North East and Yorkshire ,NID,The Living Care Group,6,Audiology - Audiology Assessments,0,0,0,0,257,0,0
16402,01/04/2024,Y63,North East and Yorkshire ,RNN,North Cumbria Integrated Care NHS Foundation Trust,6,Audiology - Audiology Assessments,568,52,0,0.092,229,24,716
16403,01/04/2024,Y63,North East and Yorkshire ,RFF,Barnsley Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,124,14,0,0.113,335,0,0
16404,01/04/2024,Y63,North East and Yorkshire ,RVW,North Tees and Hartlepool NHS Foundation Trust,6,Audiology - Audiology Assessments,215,31,2,0.144,0,0,334
16424,01/04/2024,Y63,North East and Yorkshire ,RXG,South West Yorkshire Partnership NHS Foundation Trust,6,Audiology - Audiology Assessments,243,118,0,0.486,122,0,82
16427,01/04/2024,Y63,North East and Yorkshire ,RY6,Leeds Community Healthcare NHS Trust,6,Audiology - Audiology Assessments,1012,727,411,0.718,129,0,176
16428,01/04/2024,Y63,North East and Yorkshire ,RR8,Leeds Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,454,59,0,0.13,0,7,408
16434,01/04/2024,Y63,North East and Yorkshire ,B86059,Meanwood Health Centre,6,Audiology - Audiology Assessments,0,0,0,0,52,0,195
16436,01/04/2024,Y63,North East and Yorkshire ,RXF,Mid Yorkshire Teaching NHS Trust,6,Audiology - Audiology Assessments,428,0,0,0,129,0,924
16437,01/04/2024,Y63,North East and Yorkshire ,RAE,Bradford Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,871,336,39,0.386,0,0,0
16438,01/04/2024,Y63,North East and Yorkshire ,NX2,Minor Ops Ltd,6,Audiology - Audiology Assessments,13,2,0,0.154,0,0,49
16439,01/04/2024,Y63,North East and Yorkshire ,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,6,Audiology - Audiology Assessments,1313,558,76,0.425,0,0,488
16440,01/04/2024,Y63,North East and Yorkshire ,NQH,Novus Health Ltd,6,Audiology - Audiology Assessments,0,0,0,0,290,12,252
16443,01/04/2024,Y63,North East and Yorkshire ,NEQ,Phoenix Health Solutions Limited HQ,6,Audiology - Audiology Assessments,51,11,0,0.216,4,0,0
16444,01/04/2024,Y63,North East and Yorkshire ,RCU,Sheffield Children's NHS Foundation Trust,6,Audiology - Audiology Assessments,266,4,2,0.015,393,0,373
16445,01/04/2024,Y63,North East and Yorkshire ,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,171,19,2,0.111,0,0,192
16447,01/04/2024,Y63,North East and Yorkshire ,RTR,South Tees Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,839,374,50,0.446,32,0,678
16449,01/04/2024,Y63,North East and Yorkshire ,R0B,South Tyneside and Sunderland NHS Foundation Trust,6,Audiology - Audiology Assessments,1320,706,292,0.535,0,0,1081
16491,01/04/2024,Y63,North East and Yorkshire ,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,3565,2616,1280,0.734,0,0,1190
16492,01/04/2024,Y63,North East and Yorkshire ,RFR,The Rotherham NHS Foundation Trust,6,Audiology - Audiology Assessments,361,0,0,0,11,0,441
20316,01/04/2024,Y62,North West ,RXR,East Lancashire Hospitals NHS Trust,6,Audiology - Audiology Assessments,424,56,15,0.132,0,0,615
20317,01/04/2024,Y62,North West ,NVG01,Fairfield Hospital,6,Audiology - Audiology Assessments,27,0,0,0,0,0,11
20318,01/04/2024,Y62,North West ,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,438,161,56,0.368,0,0,632
20319,01/04/2024,Y62,North West ,REM,Liverpool University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,269,10,0,0.037,263,3,616
20320,01/04/2024,Y62,North West ,R0A,Manchester University NHS Foundation Trust,6,Audiology - Audiology Assessments,932,67,0,0.072,71,0,371
20321,01/04/2024,Y62,North West ,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,739,61,0,0.083,127,0,602
20322,01/04/2024,Y62,North West ,RJN,East Cheshire NHS Trust,6,Audiology - Audiology Assessments,287,22,1,0.077,0,0,404
20324,01/04/2024,Y62,North West ,RBT,Mid Cheshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,563,1,0,0.002,0,0,617
20327,01/04/2024,Y62,North West ,RM3,Northern Care Alliance NHS Foundation Trust,6,Audiology - Audiology Assessments,1664,379,19,0.228,434,1,973
20330,01/04/2024,Y62,North West ,DXV,Omnes Healthcare Ltd,6,Audiology - Audiology Assessments,166,93,51,0.56,55,0,0
20333,01/04/2024,Y62,North West ,RJR,Countess of Chester Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,467,184,18,0.394,435,0,214
20334,01/04/2024,Y62,North West ,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,480,111,20,0.231,330,0,323
20342,01/04/2024,Y62,North West ,RY2,Bridgewater Community Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,422,154,16,0.365,186,0,193
20362,01/04/2024,Y62,North West ,NT324,Spire Cheshire Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,21
20374,01/04/2024,Y62,North West ,NRP,Beacon Medical Services Group Limited,6,Audiology - Audiology Assessments,0,0,0,0,63,0,96
20376,01/04/2024,Y62,North West ,NT337,Spire Liverpool Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,38
20378,01/04/2024,Y62,North West ,NT327,Spire Manchester Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,1
20380,01/04/2024,Y62,North West ,NT339,Spire Regency Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,8
20384,01/04/2024,Y62,North West ,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,6,Audiology - Audiology Assessments,72,1,1,0.014,38,0,321
20385,01/04/2024,Y62,North West ,NPF01,The Industrial Diagnostics Company,6,Audiology - Audiology Assessments,21,0,0,0,0,0,38
20386,01/04/2024,Y62,North West ,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,6,Audiology - Audiology Assessments,352,7,0,0.02,0,0,1003
20389,01/04/2024,Y62,North West ,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,344,12,0,0.035,0,0,951
20391,01/04/2024,Y62,North West ,RWJ,Stockport NHS Foundation Trust,6,Audiology - Audiology Assessments,747,401,249,0.537,0,0,228
20444,01/04/2024,Y62,North West ,RBL,Wirral University Teaching Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,0,0,0,0,52,0,62
20446,01/04/2024,Y62,North West ,RMC,Bolton NHS Foundation Trust,6,Audiology - Audiology Assessments,443,30,3,0.068,0,0,692
20461,01/04/2024,Y62,North West ,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",6,Audiology - Audiology Assessments,339,5,0,0.015,141,0,702
21771,01/04/2024,Y59,South East ,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,224,3,0,0.013,11,5,504
21772,01/04/2024,Y59,South East ,NWT,Action For Deafness,6,Audiology - Audiology Assessments,622,0,0,0,0,0,360
21793,01/04/2024,Y59,South East ,RDR,Sussex Community NHS Foundation Trust,6,Audiology - Audiology Assessments,290,22,1,0.076,0,0,208
21798,01/04/2024,Y59,South East ,RHM,University Hospital Southampton NHS Foundation Trust,6,Audiology - Audiology Assessments,322,0,0,0,139,0,293
22000,01/04/2024,Y59,South East ,RWF,Maidstone and Tunbridge Wells NHS Trust,6,Audiology - Audiology Assessments,660,0,0,0,0,0,937
22024,01/04/2024,Y59,South East ,RYY,Kent Community Health NHS Foundation Trust,6,Audiology - Audiology Assessments,643,8,0,0.012,413,0,346
22059,01/04/2024,Y59,South East ,NV1,Inhealth Limited,6,Audiology - Audiology Assessments,1636,212,53,0.13,0,0,1364
22140,01/04/2024,Y59,South East ,RN5,Hampshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,975,63,9,0.065,0,0,853
22144,01/04/2024,Y59,South East ,NDJ,First Community Health and Care CIC,6,Audiology - Audiology Assessments,694,438,238,0.631,347,0,0
22152,01/04/2024,Y59,South East ,NVM,Epsomedical Group,6,Audiology - Audiology Assessments,9,1,0,0.111,23,0,11
22154,01/04/2024,Y59,South East ,RVV,East Kent Hospitals University NHS Foundation Trust,6,Audiology - Audiology Assessments,411,139,26,0.338,0,0,274
22176,01/04/2024,Y59,South East ,RXQ,Buckinghamshire Healthcare NHS Trust,6,Audiology - Audiology Assessments,455,31,1,0.068,626,0,0
22183,01/04/2024,Y59,South East ,NWF01,Benenden Hospital,6,Audiology - Audiology Assessments,0,0,0,0,21,0,0
22198,01/04/2024,Y59,South East ,RWX,Berkshire Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,617,11,1,0.018,323,196,0
22214,01/04/2024,Y59,South East ,RDU,Frimley Health NHS Foundation Trust,6,Audiology - Audiology Assessments,408,165,22,0.404,0,0,0
22219,01/04/2024,Y59,South East ,RTH,Oxford University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,2455,1924,1525,0.784,24,11,155
22220,01/04/2024,Y59,South East ,RPA,Medway NHS Foundation Trust,6,Audiology - Audiology Assessments,844,211,2,0.25,29,245,484
22239,01/04/2024,Y59,South East ,RW1,Southern Health NHS Foundation Trust,6,Audiology - Audiology Assessments,115,0,0,0,0,0,203
22240,01/04/2024,Y59,South East ,RA2,Royal Surrey County Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,311,233,48,0.749,0,0,237
22241,01/04/2024,Y59,South East ,RHW,Royal Berkshire NHS Foundation Trust,6,Audiology - Audiology Assessments,628,117,3,0.186,147,0,797
22248,01/04/2024,Y59,South East ,RHU,Portsmouth Hospitals University National Health Service Trust,6,Audiology - Audiology Assessments,2296,1312,330,0.571,0,0,373
22249,01/04/2024,Y59,South East ,G82050,Sydenham House Medical Centre,6,Audiology - Audiology Assessments,0,0,0,0,20,0,0
22259,01/04/2024,Y59,South East ,RXC,East Sussex Healthcare NHS Trust,6,Audiology - Audiology Assessments,516,96,12,0.186,0,0,996
24059,01/04/2024,Y59,South East ,RYR,University Hospitals Sussex NHS Foundation Trust,6,Audiology - Audiology Assessments,385,194,98,0.504,378,681,1067
28749,01/04/2024,Y58,South West ,NCL01,Express Diagnostics (Derriford),6,Audiology - Audiology Assessments,142,0,0,0,0,0,197
28750,01/04/2024,Y58,South West ,RA9,Torbay and South Devon NHS Foundation Trust,6,Audiology - Audiology Assessments,556,98,4,0.176,0,0,724
28751,01/04/2024,Y58,South West ,NFC01,The Outside Clinic HQ,6,Audiology - Audiology Assessments,3683,1555,448,0.422,0,0,1239
28752,01/04/2024,Y58,South West ,NQT5K,St Martins Hospital,6,Audiology - Audiology Assessments,727,377,62,0.519,427,0,196
28754,01/04/2024,Y58,South West ,RH5,Somerset NHS Foundation Trust,6,Audiology - Audiology Assessments,1194,106,19,0.089,44,0,902
28772,01/04/2024,Y58,South West ,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,6,Audiology - Audiology Assessments,1537,309,37,0.201,0,0,1602
28775,01/04/2024,Y58,South West ,RH8,Royal Devon University Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,375,12,0,0.032,0,0,246
28776,01/04/2024,Y58,South West ,REF,Royal Cornwall Hospitals NHS Trust,6,Audiology - Audiology Assessments,311,45,0,0.145,213,230,284
28780,01/04/2024,Y58,South West ,RD1,Royal United Hospitals Bath NHS Foundation Trust,6,Audiology - Audiology Assessments,339,22,0,0.065,177,0,414
28781,01/04/2024,Y58,South West ,NX0,Chime Social Enterprise,6,Audiology - Audiology Assessments,3523,2732,1737,0.775,697,0,0
28783,01/04/2024,Y58,South West ,RDY,Dorset Healthcare University NHS Foundation Trust,6,Audiology - Audiology Assessments,1959,768,50,0.392,0,0,841
28784,01/04/2024,Y58,South West ,RK9,University Hospitals Plymouth NHS Trust,6,Audiology - Audiology Assessments,625,15,0,0.024,0,0,963
28788,01/04/2024,Y58,South West ,RNZ,Salisbury NHS Foundation Trust,6,Audiology - Audiology Assessments,769,110,38,0.143,44,0,289
28826,01/04/2024,Y58,South West ,RTE,Gloucestershire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,1085,176,14,0.162,0,0,1124
28854,01/04/2024,Y58,South West ,RN3,Great Western Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,880,178,37,0.202,369,0,944
250,01/05/2024,Y61,East of England ,RC9,Bedfordshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,706,497,276,0.704,0,0,171
251,01/05/2024,Y61,East of England ,RGT,Cambridge University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,1118,641,276,0.573,279,0,949
252,01/05/2024,Y61,East of England ,RYV,Cambridgeshire Community Services NHS Trust,6,Audiology - Audiology Assessments,2073,1832,1442,0.884,0,0,229
254,01/05/2024,Y61,East of England ,RDE,East Suffolk and North Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,423,1,0,0.002,18,0,628
257,01/05/2024,Y61,East of England ,RGP,James Paget University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,267,7,2,0.026,26,0,255
258,01/05/2024,Y61,East of England ,RAJ,Mid and South Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,774,71,13,0.092,167,0,1456
263,01/05/2024,Y61,East of England ,RD8,Milton Keynes University Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,1513,1128,700,0.746,9,0,221
265,01/05/2024,Y61,East of England ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,641,141,5,0.22,285,0,521
297,01/05/2024,Y61,East of England ,RWG,West Hertfordshire Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,1142,624,101,0.546,0,0,197
299,01/05/2024,Y61,East of England ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6,Audiology - Audiology Assessments,594,233,41,0.392,7,0,247
301,01/05/2024,Y61,East of England ,RQW,The Princess Alexandra Hospital NHS Trust,6,Audiology - Audiology Assessments,936,650,285,0.694,189,0,52
304,01/05/2024,Y61,East of England ,RGN,North West Anglia NHS Foundation Trust,6,Audiology - Audiology Assessments,587,380,81,0.647,65,0,415
343,01/05/2024,Y61,East of England ,NQA,Provide,6,Audiology - Audiology Assessments,198,31,1,0.157,0,0,205
1619,01/05/2024,Y61,East of England ,NT316,Spire Harpenden Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,14
1641,01/05/2024,Y61,East of England ,RGR,West Suffolk NHS Foundation Trust,6,Audiology - Audiology Assessments,1142,715,267,0.626,0,0,348
1651,01/05/2024,Y61,East of England ,NT315,Spire Bushey Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,13
5160,01/05/2024,Y56,London ,RKE,Whittington Health NHS Trust,6,Audiology - Audiology Assessments,598,20,1,0.033,17,0,703
5161,01/05/2024,Y56,London ,RKL,West London NHS Trust,6,Audiology - Audiology Assessments,203,0,0,0,443,0,0
5162,01/05/2024,Y56,London ,RRV,University College London Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,4,0,0,0,0,0,51
5193,01/05/2024,Y56,London ,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,285,1,0,0.004,669,0,0
5460,01/05/2024,Y56,London ,RAS,The Hillingdon Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,1006,337,108,0.335,199,0,549
5606,01/05/2024,Y56,London ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,215,0,0,0,0,19,499
5612,01/05/2024,Y56,London ,RYJ,Imperial College Healthcare NHS Trust,6,Audiology - Audiology Assessments,498,22,4,0.044,180,0,732
5615,01/05/2024,Y56,London ,RY9,Hounslow and Richmond Community Healthcare NHS Trust,6,Audiology - Audiology Assessments,167,0,0,0,0,0,260
5618,01/05/2024,Y56,London ,RJ7,St George's University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,8,0,0,0,3,0,12
